,Gene description,Gene name,Chromosome/scaffold name,mitochondrial,hemoglobin,sex_linked,canonical_neuronal,glutamatergic
ENSRNOG00000055569,Small nucleolar RNA SNORD15 [Source:RGD Symbol;Acc:15009557],SNORD15,1,False,False,False,False,False
ENSRNOG00000011160,synaptic vesicle glycoprotein 2b [Source:RGD Symbol;Acc:619716],Sv2b,1,False,False,False,False,False
ENSRNOG00000063599,,,1,False,False,False,False,False
ENSRNOG00000017748,NK6 homeobox 2 [Source:RGD Symbol;Acc:1307280],Nkx6-2,1,False,False,False,False,False
ENSRNOG00000067237,,,1,False,False,False,False,False
ENSRNOG00000065307,,,1,False,False,False,False,False
ENSRNOG00000062707,uncharacterized LOC120100725 [Source:RGD Symbol;Acc:41172051],,2,False,False,False,False,False
ENSRNOG00000016227,glutaredoxin 3 [Source:RGD Symbol;Acc:69414],Glrx3,1,False,False,False,False,False
ENSRNOG00000070826,U6 spliceosomal RNA [Source:RGD Symbol;Acc:40976055],U6,1,False,False,False,False,False
ENSRNOG00000013395,peptidoglycan recognition protein 1 [Source:RGD Symbol;Acc:621429],Pglyrp1,1,False,False,False,False,False
ENSRNOG00000004753,NSF attachment protein beta [Source:RGD Symbol;Acc:1589649],Napb,3,False,False,False,False,False
ENSRNOG00000016906,lipoyl(octanoyl) transferase 2 [Source:RGD Symbol;Acc:1305211],Lipt2,1,False,False,False,False,False
ENSRNOG00000066860,small nucleolar RNA SNORA20 [Source:RGD Symbol;Acc:41396935],,1,False,False,False,False,False
ENSRNOG00000069365,,,1,False,False,False,False,False
ENSRNOG00000020317,RAB5 interacting factor [Source:RGD Symbol;Acc:1307752],Rab5if,3,False,False,False,False,False
ENSRNOG00000062499,small nucleolar RNA SNORD116 [Source:RGD Symbol;Acc:41119470],SNORD116,1,False,False,False,False,False
ENSRNOG00000015691,inka box actin regulator 2 [Source:RGD Symbol;Acc:1306526],Inka2,2,False,False,False,False,False
ENSRNOG00000067382,uncharacterized LOC120100726 [Source:RGD Symbol;Acc:41374960],,2,False,False,False,False,False
ENSRNOG00000067821,,,1,False,False,False,False,False
ENSRNOG00000070448,similar to olfactory receptor Olr363 [Source:RGD Symbol;Acc:1590077],,1,False,False,False,False,False
ENSRNOG00000063062,,,1,False,False,False,False,False
ENSRNOG00000036303,microRNA 343 [Source:RGD Symbol;Acc:2317875],Mir343,1,False,False,False,False,False
ENSRNOG00000067171,,,1,False,False,False,False,False
ENSRNOG00000065290,olfactory receptor 220 [Source:RGD Symbol;Acc:1332718],Olr220,1,False,False,False,False,False
ENSRNOG00000065800,,,3,False,False,False,False,False
ENSRNOG00000065902,uncharacterized LOC102549789 [Source:RGD Symbol;Acc:7645336],,2,False,False,False,False,False
ENSRNOG00000055366,"predicted gene, 24154 [Source:RGD Symbol;Acc:15009407]",Gm24154,1,False,False,False,False,False
ENSRNOG00000008463,RUN domain containing 3B [Source:RGD Symbol;Acc:1587590],Rundc3b,4,False,False,False,False,False
ENSRNOG00000008121,solute carrier family 13 member 1 [Source:RGD Symbol;Acc:61919],Slc13a1,4,False,False,False,False,False
ENSRNOG00000063706,,,2,False,False,False,False,False
ENSRNOG00000052293,Small nucleolar RNA SNORD15 [Source:RGD Symbol;Acc:15007047],SNORD15,1,False,False,False,False,False
ENSRNOG00000027582,dihydropyrimidinase-like 4 [Source:RGD Symbol;Acc:2409],Dpysl4,1,False,False,False,False,False
ENSRNOG00000010595,RNA binding motif protein 45 [Source:RGD Symbol;Acc:628862],Rbm45,3,False,False,False,False,False
ENSRNOG00000070096,olfactory receptor 20 [Source:RGD Symbol;Acc:1332905],Olr20,1,False,False,False,False,False
ENSRNOG00000062311,olfactory receptor 530 [Source:RGD Symbol;Acc:1332695],Olr530,3,False,False,False,False,False
ENSRNOG00000064522,small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:40966335],SNORD115,1,False,False,False,False,False
ENSRNOG00000035532,microRNA 101-2 [Source:RGD Symbol;Acc:2325609],Mir101-2,1,False,False,False,False,False
ENSRNOG00000009830,"family with sequence similarity 204, member A [Source:RGD Symbol;Acc:1305500]",Fam204a,1,False,False,False,False,False
ENSRNOG00000069707,,,4,False,False,False,False,False
ENSRNOG00000066257,,,1,False,False,False,False,False
ENSRNOG00000012742,iroquois homeobox 2 [Source:RGD Symbol;Acc:1309834],Irx2,1,False,False,False,False,False
ENSRNOG00000063184,olfactory receptor 221 [Source:RGD Symbol;Acc:1334043],Olr221,1,False,False,False,False,False
ENSRNOG00000020337,Src-like-adaptor 2 [Source:RGD Symbol;Acc:1562071],Sla2,3,False,False,False,False,False
ENSRNOG00000069617,,,2,False,False,False,False,False
ENSRNOG00000069837,,,1,False,False,False,False,False
ENSRNOG00000070569,similar to GTPase activating protein testicular GAP1 [Source:RGD Symbol;Acc:1563562],RGD1563562,2,False,False,False,False,False
ENSRNOG00000069135,small nucleolar RNA SNORD97 [Source:RGD Symbol;Acc:41129599],,1,False,False,False,False,False
ENSRNOG00000064137,,,1,False,False,False,False,False
ENSRNOG00000016408,kirre like nephrin family adhesion molecule 1 [Source:RGD Symbol;Acc:727883],Kirrel1,2,False,False,False,False,False
ENSRNOG00000071210,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],U2,1,False,False,False,False,False
ENSRNOG00000019455,adaptor related protein complex 4 subunit beta 1 [Source:RGD Symbol;Acc:1310529],Ap4b1,2,False,False,False,False,False
ENSRNOG00000067491,,,1,False,False,False,False,False
ENSRNOG00000065122,Huntingtin interacting protein K [Source:RGD Symbol;Acc:1311457],Hypk,3,False,False,False,False,False
ENSRNOG00000064435,small nucleolar RNA SNORD116 [Source:RGD Symbol;Acc:41084950],SNORD116,1,False,False,False,False,False
ENSRNOG00000065990,microRNA 344a-2 [Source:RGD Symbol;Acc:4888565],Mir344a-2,1,False,False,False,False,False
ENSRNOG00000065939,U6 spliceosomal RNA [Source:RGD Symbol;Acc:41014533],U6,1,False,False,False,False,False
ENSRNOG00000069092,,,2,False,False,False,False,False
ENSRNOG00000070655,olfactory receptor 532 [Source:RGD Symbol;Acc:1333655],Olr532,3,False,False,False,False,False
ENSRNOG00000013767,coiled-coil domain containing 61 [Source:RGD Symbol;Acc:1307390],Ccdc61,1,False,False,False,False,False
ENSRNOG00000063387,olfactory receptor 310 [Source:RGD Symbol;Acc:1333513],Olr310,1,False,False,False,False,False
ENSRNOG00000013790,major facilitator superfamily domain containing 1 [Source:RGD Symbol;Acc:1305751],Mfsd1,2,False,False,False,False,False
ENSRNOG00000052521,small Cajal body-specific RNA 3 [Source:RGD Symbol;Acc:41199722],AABR07001573.1,1,False,False,False,False,False
ENSRNOG00000067619,,,1,False,False,False,False,False
ENSRNOG00000062759,,,3,False,False,False,False,False
ENSRNOG00000015184,chloride intracellular channel 3 [Source:RGD Symbol;Acc:1307249],Clic3,3,False,False,False,False,False
ENSRNOG00000062791,small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41247311],SNORD115,1,False,False,False,False,False
ENSRNOG00000020893,sorting nexin 27 [Source:RGD Symbol;Acc:628705],Snx27,2,False,False,False,False,False
ENSRNOG00000064203,olfactory receptor 825 [Source:RGD Symbol;Acc:1333814],Olr825,4,False,False,False,False,False
ENSRNOG00000032699,tweety family member 1 [Source:RGD Symbol;Acc:1310103],Ttyh1,1,False,False,False,False,False
ENSRNOG00000035616,microRNA 3574 [Source:RGD Symbol;Acc:4888587],Mir3574,1,False,False,False,False,False
ENSRNOG00000069698,uncharacterized LOC108349467 [Source:RGD Symbol;Acc:11502957],,1,False,False,False,False,False
ENSRNOG00000070996,"sprouty-related, EVH1 domain containing 1 [Source:RGD Symbol;Acc:1308735]",Spred1,3,False,False,False,False,False
ENSRNOG00000063324,small nucleolar RNA SNORA20 [Source:RGD Symbol;Acc:41087412],Snora20,1,False,False,False,False,False
ENSRNOG00000062446,,,2,False,False,False,False,False
ENSRNOG00000058041,U7 small nuclear RNA [Source:RGD Symbol;Acc:15011474],U7,1,False,False,False,False,False
ENSRNOG00000063227,,,1,False,False,False,False,False
ENSRNOG00000062864,uncharacterized LOC120100659 [Source:NCBI gene (formerly Entrezgene);Acc:120100659],,2,False,False,False,False,False
ENSRNOG00000027016,cordon-bleu WH2 repeat protein-like 1 [Source:RGD Symbol;Acc:1308954],Cobll1,3,False,False,False,False,False
ENSRNOG00000018408,similar to CG16812-PA [Source:RGD Symbol;Acc:1307554],RGD1307554,1,False,False,False,False,False
ENSRNOG00000064960,small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41323105],SNORD115,1,False,False,False,False,False
ENSRNOG00000030782,olfactory receptor 283 [Source:RGD Symbol;Acc:1333156],Olr283,1,False,False,False,False,False
ENSRNOG00000016421,tyrosinase [Source:RGD Symbol;Acc:1589755],Tyr,1,False,False,False,False,False
ENSRNOG00000068207,,,2,False,False,False,False,False
ENSRNOG00000058299,U6 spliceosomal RNA [Source:RGD Symbol;Acc:15011682],U6,1,False,False,False,False,False
ENSRNOG00000065756,microfibrillar-associated protein 1A [Source:RGD Symbol;Acc:1562232],Mfap1a,3,False,False,False,False,False
ENSRNOG00000018334,cytosolic thiouridylase subunit 1 [Source:RGD Symbol;Acc:1308740],Ctu1,1,False,False,False,False,False
ENSRNOG00000070685,U6 spliceosomal RNA [Source:RGD Symbol;Acc:41222380],U6,1,False,False,False,False,False
ENSRNOG00000060004,microRNA 3572 [Source:RGD Symbol;Acc:4888589],Mir3572,1,False,False,False,False,False
ENSRNOG00000013074,WT1 transcription factor [Source:RGD Symbol;Acc:3974],Wt1,3,False,False,False,False,False
ENSRNOG00000069399,,,1,False,False,False,False,False
ENSRNOG00000067907,,,1,False,False,False,False,False
ENSRNOG00000014726,acyl-CoA synthetase medium-chain family member 4 [Source:RGD Symbol;Acc:727928],Acsm4,1,False,False,False,False,False
ENSRNOG00000063196,,,1,False,False,False,False,False
ENSRNOG00000004967,small nuclear ribonucleoprotein polypeptide B2 [Source:RGD Symbol;Acc:1310194],Snrpb2,3,False,False,False,False,False
ENSRNOG00000060273,,AABR07006093.2,1,False,False,False,False,False
ENSRNOG00000070216,small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41073030],SNORD115,1,False,False,False,False,False
ENSRNOG00000068917,,,2,False,False,False,False,False
ENSRNOG00000051969,small nucleolar RNA SNORA29 [Source:RGD Symbol;Acc:41161183],AABR07071864.1,1,False,False,False,False,False
ENSRNOG00000065221,amylase 2a3 [Source:RGD Symbol;Acc:1593187],Amy2a3,2,False,False,False,False,False
ENSRNOG00000023407,mitochondrial ribosomal protein L36 [Source:RGD Symbol;Acc:1306375],Mrpl36,1,False,False,False,False,False
ENSRNOG00000035654,microRNA 99b [Source:RGD Symbol;Acc:2325431],Mir99b,1,False,False,False,False,False
ENSRNOG00000061890,integral membrane transport protein UST5r [Source:RGD Symbol;Acc:620985],Ust5r,1,False,False,False,False,False
ENSRNOG00000010529,thrombospondin 2 [Source:RGD Symbol;Acc:1310979],Thbs2,1,False,False,False,False,False
ENSRNOG00000053392,uncharacterized LOC120101086 [Source:RGD Symbol;Acc:40962450],AC095678.2,2,False,False,False,False,False
ENSRNOG00000012684,"biogenesis of lysosomal organelles complex-1, subunit 2 [Source:RGD Symbol;Acc:1306551]",Bloc1s2,1,False,False,False,False,False
ENSRNOG00000069040,small nucleolar RNA SNORA48 [Source:RGD Symbol;Acc:41265789],,1,False,False,False,False,False
ENSRNOG00000014258,"RAB32, member RAS oncogene family [Source:RGD Symbol;Acc:1559997]",Rab32,1,False,False,False,False,False
ENSRNOG00000010918,,,1,False,False,False,False,False
ENSRNOG00000030825,olfactory receptor 533 [Source:RGD Symbol;Acc:1334282],Olr533,3,False,False,False,False,False
ENSRNOG00000063357,,,3,False,False,False,False,False
ENSRNOG00000066483,small nucleolar RNA SNORD116 [Source:RGD Symbol;Acc:41023737],SNORD116,1,False,False,False,False,False
ENSRNOG00000014617,trans-golgi network protein 2 [Source:RGD Symbol;Acc:620445],Tgoln2,4,False,False,False,False,False
ENSRNOG00000051780,small nucleolar RNA SNORA40 [Source:RGD Symbol;Acc:41336906],AC129234.1,1,False,False,False,False,False
ENSRNOG00000067027,histone H3.3-like [Source:RGD Symbol;Acc:11381356],,1,False,False,False,False,False
ENSRNOG00000035560,microRNA 150 [Source:RGD Symbol;Acc:2325455],Mir150,1,False,False,False,False,False
ENSRNOG00000008980,RNA binding motif protein 48 [Source:RGD Symbol;Acc:1310794],Rbm48,4,False,False,False,False,False
ENSRNOG00000019416,,,1,False,False,False,False,False
ENSRNOG00000017366,olfactory receptor 193 [Source:RGD Symbol;Acc:1332887],Olr192,1,False,False,False,False,False
ENSRNOG00000007608,Fez family zinc finger 1 [Source:RGD Symbol;Acc:1560480],Fezf1,4,False,False,False,False,False
ENSRNOG00000066968,,,2,False,False,False,False,False
ENSRNOG00000053012,small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41166240],AABR07006451.2,1,False,False,False,False,False
ENSRNOG00000059864,"predicted gene, 24794 [Source:RGD Symbol;Acc:15012888]",Gm24794,1,False,False,False,False,False
ENSRNOG00000053838,Small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:15008220],SNORD115,1,False,False,False,False,False
ENSRNOG00000068567,,,1,False,False,False,False,False
ENSRNOG00000066506,,,2,False,False,False,False,False
ENSRNOG00000015294,"PAXX, non-homologous end joining factor [Source:RGD Symbol;Acc:1306215]",Paxx,3,False,False,False,False,False
ENSRNOG00000063945,microRNA mir-6317-1 [Source:RGD Symbol;Acc:14398574],Mir6317-1,1,False,False,False,False,False
ENSRNOG00000056110,olfactory receptor 500 [Source:RGD Symbol;Acc:1334278],Olr500,3,False,False,False,False,False
ENSRNOG00000028721,otoraplin [Source:RGD Symbol;Acc:1305253],Otor,3,False,False,False,False,False
ENSRNOG00000067832,uncharacterized LOC102554288 [Source:RGD Symbol;Acc:7521950],,3,False,False,False,False,False
ENSRNOG00000066101,uncharacterized LOC100911574 [Source:RGD Symbol;Acc:6491878],Gm9999,1,False,False,False,False,False
ENSRNOG00000057261,Metazoan signal recognition particle RNA [Source:RGD Symbol;Acc:15010874],Metazoa_SRP,1,False,False,False,False,False
ENSRNOG00000070161,,,1,False,False,False,False,False
ENSRNOG00000065242,,,1,False,False,False,False,False
ENSRNOG00000063217,similar to retinoic acid early transcript 1L [Source:RGD Symbol;Acc:1583663],Rrlt,1,False,False,False,False,False
ENSRNOG00000064622,uncharacterized LOC108350428 [Source:RGD Symbol;Acc:11484255],,3,False,False,False,False,False
ENSRNOG00000036631,prostaglandin D2 receptor 2 [Source:RGD Symbol;Acc:1311986],Ptgdr2,1,False,False,False,False,False
ENSRNOG00000066494,small nucleolar RNA SNORD116 [Source:RGD Symbol;Acc:41396804],SNORD116,1,False,False,False,False,False
ENSRNOG00000062875,,,2,False,False,False,False,False
ENSRNOG00000016659,hyaluronan binding protein 2 [Source:RGD Symbol;Acc:1302979],Habp2,1,False,False,False,False,False
ENSRNOG00000059820,small nucleolar RNA SNORA4 [Source:RGD Symbol;Acc:41255502],AC110837.2,1,False,False,False,False,False
ENSRNOG00000049846,microRNA 344g [Source:RGD Symbol;Acc:7489017],Mir344g,1,False,False,False,False,False
ENSRNOG00000014946,THUMP domain containing 1 [Source:RGD Symbol;Acc:1308854],Thumpd1,1,False,False,False,False,False
ENSRNOG00000067771,,,4,False,False,False,False,False
ENSRNOG00000070965,,,1,False,False,False,False,False
ENSRNOG00000009468,interleukin 12A [Source:RGD Symbol;Acc:620562],Il12a,2,False,False,False,False,False
ENSRNOG00000065570,small nucleolar RNA SNORA40 [Source:RGD Symbol;Acc:41105862],,1,False,False,False,False,False
ENSRNOG00000063736,,,2,False,False,False,False,False
ENSRNOG00000069752,,,2,False,False,False,False,False
ENSRNOG00000069390,,,1,False,False,False,False,False
ENSRNOG00000020318,polynucleotide kinase 3'-phosphatase [Source:RGD Symbol;Acc:1303331],Pnkp,1,False,False,False,False,False
ENSRNOG00000047406,LOC361192 [Source:RGD Symbol;Acc:1308544],RGD1308544,1,False,False,False,False,False
ENSRNOG00000070104,,,1,False,False,False,False,False
ENSRNOG00000009135,similar to EF hand calcium binding domain 1 [Source:RGD Symbol;Acc:1588445],1700109H08Rik,4,False,False,False,False,False
ENSRNOG00000050445,glycerophosphodiester phosphodiesterase 1 [Source:RGD Symbol;Acc:621788],Gde1,1,False,False,False,False,False
ENSRNOG00000067778,olfactory receptor 514 [Source:RGD Symbol;Acc:1333259],Olr514,3,False,False,False,False,False
ENSRNOG00000069614,small nucleolar RNA SNORD116 [Source:RGD Symbol;Acc:41077533],SNORD116,1,False,False,False,False,False
ENSRNOG00000069896,U6 spliceosomal RNA [Source:RGD Symbol;Acc:41346041],U6,1,False,False,False,False,False
ENSRNOG00000067200,,,2,False,False,False,False,False
ENSRNOG00000035565,microRNA 330 [Source:RGD Symbol;Acc:2325620],Mir330,1,False,False,False,False,False
ENSRNOG00000031110,olfactory receptor 53 [Source:RGD Symbol;Acc:1333228],Olr53,1,False,False,False,False,False
ENSRNOG00000010628,"SEC13 homolog, nuclear pore and COPII coat complex component [Source:RGD Symbol;Acc:1359555]",Sec13,4,False,False,False,False,False
ENSRNOG00000058224,Nuclear RNase P [Source:RGD Symbol;Acc:15011620],RNaseP_nuc,1,False,False,False,False,False
ENSRNOG00000067930,,,1,False,False,False,False,False
ENSRNOG00000022491,WD repeat domain 76 [Source:RGD Symbol;Acc:1309616],Wdr76,3,False,False,False,False,False
ENSRNOG00000051199,fibrous sheath-interacting protein 2 [Source:RGD Symbol;Acc:1593013],Fsip2,3,False,False,False,False,False
ENSRNOG00000016597,,AABR07006081.1,1,False,False,False,False,False
ENSRNOG00000064367,small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41335386],SNORD115,1,False,False,False,False,False
ENSRNOG00000064092,U6 spliceosomal RNA [Source:RGD Symbol;Acc:41322932],U6,1,False,False,False,False,False
ENSRNOG00000064252,uncharacterized LOC102553736 [Source:RGD Symbol;Acc:7678070],,2,False,False,False,False,False
ENSRNOG00000067132,microRNA 344i [Source:RGD Symbol;Acc:7489023],Mir344i,1,False,False,False,False,False
ENSRNOG00000068454,U6 spliceosomal RNA [Source:RGD Symbol;Acc:41246900],U6,1,False,False,False,False,False
ENSRNOG00000067999,,,4,False,False,False,False,False
ENSRNOG00000028095,lipocalin 6 [Source:RGD Symbol;Acc:1302986],Lcn6,3,False,False,False,False,False
ENSRNOG00000018953,Cbl proto-oncogene C [Source:RGD Symbol;Acc:1307651],Cblc,1,False,False,False,False,False
ENSRNOG00000069628,,,1,False,False,False,False,False
ENSRNOG00000062564,histocompatibility antigen 60b-like [Source:RGD Symbol;Acc:41176714],,1,False,False,False,False,False
ENSRNOG00000065292,,,1,False,False,False,False,False
ENSRNOG00000018940,solute carrier family 28 member 1 [Source:RGD Symbol;Acc:621223],Slc28a1,1,False,False,False,False,False
ENSRNOG00000068976,,,1,False,False,False,False,False
ENSRNOG00000052649,,AABR07008309.1,2,False,False,False,False,False
ENSRNOG00000013945,inositol-trisphosphate 3-kinase C [Source:RGD Symbol;Acc:631336],Itpkc,1,False,False,False,False,False
ENSRNOG00000068179,,,3,False,False,False,False,False
ENSRNOG00000068368,small nucleolar RNA SNORA40 [Source:RGD Symbol;Acc:41136282],,1,False,False,False,False,False
ENSRNOG00000070203,Small nucleolar RNA SNORD115 [Source:RFAM;Acc:RF00105],SNORD115,1,False,False,False,False,False
ENSRNOG00000065397,U6 spliceosomal RNA [Source:RGD Symbol;Acc:41041613],U6,1,False,False,False,False,False
ENSRNOG00000067004,,,2,False,False,False,False,False
ENSRNOG00000040447,microRNA 708 [Source:RGD Symbol;Acc:2325357],Mir708,1,False,False,False,False,False
ENSRNOG00000033706,kallikrein related-peptidase 14 [Source:RGD Symbol;Acc:1308606],Klk14,1,False,False,False,False,False
ENSRNOG00000031947,ribosomal protein L36-like [Source:RGD Symbol;Acc:2320900],AABR07071986.1,1,False,False,False,False,False
ENSRNOG00000016565,,,1,False,False,False,False,False
ENSRNOG00000066104,,,1,False,False,False,False,False
ENSRNOG00000065362,olfactory receptor 443 [Source:RGD Symbol;Acc:1332940],Olr443,3,False,False,False,False,False
ENSRNOG00000066508,,,1,False,False,False,False,False
ENSRNOG00000061455,olfactory receptor 354 [Source:RGD Symbol;Acc:1333250],Olr354,1,False,False,False,False,False
ENSRNOG00000009172,"carboxypeptidase, vitellogenic-like [Source:RGD Symbol;Acc:1563609]",Cpvl,4,False,False,False,False,False
ENSRNOG00000000096,PDZ domain containing 1 [Source:RGD Symbol;Acc:70924],Pdzk1,2,False,False,False,False,False
ENSRNOG00000014385,Wnt family member 2B [Source:RGD Symbol;Acc:69346],Wnt2b,2,False,False,False,False,False
ENSRNOG00000019138,C-type lectin domain containing 11A [Source:RGD Symbol;Acc:3627],Clec11a,1,False,False,False,False,False
ENSRNOG00000015424,olfactory receptor 51 [Source:RGD Symbol;Acc:1332773],Olr51,1,False,False,False,False,False
ENSRNOG00000011135,general transcription factor IIB [Source:RGD Symbol;Acc:619735],Gtf2b,2,False,False,False,False,False
ENSRNOG00000013198,olfactory receptor 377 [Source:RGD Symbol;Acc:1333595],Olr377,1,False,False,False,False,False
ENSRNOG00000056351,U7 small nuclear RNA [Source:RGD Symbol;Acc:15010175],U7,1,False,False,False,False,False
ENSRNOG00000065052,small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41345916],SNORD115,1,False,False,False,False,False
ENSRNOG00000035572,microRNA 125a [Source:RGD Symbol;Acc:2325387],Mir125a,1,False,False,False,False,False
ENSRNOG00000022511,GTPase activating protein testicular GAP1 [Source:RGD Symbol;Acc:1359558],tGap1,2,False,False,False,False,False
ENSRNOG00000066793,,,2,False,False,False,False,False
ENSRNOG00000069359,,,1,False,False,False,False,False
ENSRNOG00000021695,hyaluronoglucosaminidase 6 [Source:RGD Symbol;Acc:1564219],Hyal6,4,False,False,False,False,False
ENSRNOG00000069866,small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41313338],,1,False,False,False,False,False
ENSRNOG00000068014,,,1,False,False,False,False,False
ENSRNOG00000065728,,,1,False,False,False,False,False
ENSRNOG00000065452,,,3,False,False,False,False,False
ENSRNOG00000006731,SPC25 component of NDC80 kinetochore complex [Source:RGD Symbol;Acc:1307811],Spc25,3,False,False,False,False,False
ENSRNOG00000066286,,,2,False,False,False,False,False
